rank,country,iso_code,average_life_expectancy_at_birth_2025_in_years
226,DRC,COD,62
227,Sierra Leone,SLE,62
228,Niger,NER,62
229,Burkina Faso,BFA,61
230,Benin,BEN,61
231,Guinea,GIN,61
232,Mali,MLI,61
233,Somalia,SOM,59
234,Lesotho,LSO,58
235,Central African Republic,CAF,58
236,South Sudan,SSD,58
237,Chad,TCD,55
238,Nigeria,NGA,55
